NM_BAIRRO,setores,iqu_mediano,total_equipamentos,saude,educacao,mobilidade,qualidade_vida,servicos_essenciais,seguranca,cluster,pca_x,pca_y
Jardim Universo,4,0.78,9,1,0,8,0,0,0,0,-0.24640834710608978,-1.393192430448091
Conjunto Residencial Hermann Moraes de Barros,4,0.78,10,0,2,8,0,0,0,1,0.035871610621057974,-0.8146028757683759
Conjunto Residencial João de Barro - Cidade Alta II,1,0.68,2,0,0,2,0,0,0,1,-1.6973782476999277,0.1314874624983323
Conjunto Habitacional Requião I,7,0.68,24,0,2,22,0,0,0,2,0.9333884186241221,-1.8539265876553823
Jardim Monte Carlo,3,0.68,6,1,0,5,0,0,0,0,-0.4870991971858999,-1.2067713036666
Loteamento Sumaré,7,0.68,13,0,2,10,1,0,0,2,0.5386913993344133,-0.33715614293681945
Jardim Pinheiros II,1,0.68,2,0,0,2,0,0,0,1,-1.6973782476999277,0.1314874624983323
Ebenezer,2,0.66,4,0,0,4,0,0,0,1,-1.5714375994208618,-0.01869516982408095
Jardim Tabaetê,2,0.55,3,0,0,3,0,0,0,1,-1.6822047337092052,0.020532003227468468
Jardim Império do Sol,2,0.55,3,0,0,3,0,0,0,1,-1.6822047337092052,0.020532003227468468
Jardim Novo Paulista,1,0.42,1,0,0,1,0,0,0,1,-1.8678913946742841,0.12588445666281015
Cidade Monções e Subdivisões do L. 245A (Jardim Bela Vista),5,0.42,5,0,0,5,0,0,0,1,-1.6000778280665489,-0.1625260936121305
Conjunto Residencial João de Barro Porto Seguro II,1,0.42,1,0,0,1,0,0,0,1,-1.8678913946742841,0.12588445666281015
Parque Residencial Quebec,3,0.42,7,1,2,3,1,0,0,0,0.9758767780066806,-1.0320941768186573
Jardim Tóquio,3,0.42,3,0,0,2,1,0,0,1,-1.3921943224888536,0.7053206129878159
Jardim Santa Clara,1,0.42,1,0,0,1,0,0,0,1,-1.8678913946742841,0.12588445666281015
"Jardim Paulista (I, II, III e IV)",12,0.42,19,0,2,16,1,0,0,2,0.8368519939235934,-0.8474776117534877
Jardim D' Monet,1,0.0,0,0,0,0,0,0,0,1,-2.102133621847055,0.07246259334774525
Jardim Monte Sião e Sinai,1,0.0,0,0,0,0,0,0,0,1,-2.102133621847055,0.07246259334774525
Jardim Licce,1,0.0,0,0,0,0,0,0,0,1,-2.102133621847055,0.07246259334774525
Vila Esperança I,2,0.0,0,0,0,0,0,0,0,1,-2.102133621847055,0.07246259334774525
