NM_SUBDIST,setores,iqu_mediano,iqu_media,total_equipamentos,area_km2,saude,educacao,mobilidade,qualidade_vida,servicos_essenciais,seguranca,equip_por_km2,iqu_ponderado,cluster,pca_x,pca_y
Zona 29,20,1.96,1.8015,69,2.5991408534627105,1,4,55,4,5,0,26.55,1.96,2,-0.008224415235202245,-0.45213177191641146
Zona 3,15,2.86,2.03,50,1.2612268192031748,2,3,34,7,4,0,39.64,2.86,2,0.10539298691803964,0.5178100569638366
Zona 30,19,2.03,1.7973684210526315,65,1.7993997476979482,1,7,50,5,2,0,36.12,2.03,0,0.20746710380038527,-0.8156402498533097
Zona 31,27,1.69,1.6451851851851853,79,4.105208591392797,1,7,56,11,4,0,19.24,1.69,0,1.0730967212684595,-0.7561346814782008
Zona 33,11,2.6,2.4127272727272726,59,2.989822741453216,2,6,40,5,3,3,19.73,2.6,2,0.3048918239520022,0.5412647161941462
Zona 34,7,1.52,2.6900000000000004,63,84.87100315579184,1,2,48,7,5,0,0.74,1.52,2,-0.09465265128107564,-0.29063846697707985
Zona 35,2,2.21,2.175,8,0.1871550877747533,1,0,7,0,0,0,42.75,2.21,2,-1.957165070449326,0.24427077396286648
Zona 36,50,1.94,1.3632,166,6.347802052501504,2,11,140,7,6,0,26.15,1.94,0,2.4093949654994784,-1.946542424634026
Zona 37,62,1.56,1.519032258064516,251,8.231896070764309,3,17,221,5,5,0,30.49,1.56,0,3.8628675399298906,-3.7372426025170484
Zona 38,15,3.53,1.598,95,4.440033930124068,1,2,82,10,0,0,21.4,3.53,0,0.3134143895237204,0.022544387906048933
Zona 39,20,1.97,1.7835,106,3.103487804163521,1,6,95,4,0,0,34.16,1.97,0,0.1956461344717071,-1.4730217643828902
Zona 4,10,3.76,3.376,64,1.979964102141296,2,4,40,9,9,0,32.32,3.76,1,1.116171923957798,1.154987003391543
Zona 40,4,4.87,5.2275,40,2.4195788781116128,12,2,22,3,1,0,16.53,4.87,1,0.691754092866747,2.8693267196948233
Zona 41,3,1.52,1.7599999999999998,21,2.4373626104569475,0,0,20,1,0,0,8.62,1.52,2,-1.9342082822575877,-0.37010173556851034
Zona 42,4,1.66,1.4175,21,10.495580902389884,0,1,19,1,0,0,2.0,1.66,2,-1.7816327860807142,-0.38910894482653424
Zona 43,20,3.46,2.0755,121,4.367784717812512,1,7,105,4,4,0,27.7,3.46,0,0.9996101573394457,-0.7215700255831338
Zona 44,15,2.3,1.976,62,3.772317427372868,2,4,49,4,3,0,16.44,2.3,2,-0.08756172319720926,-0.19499511054385932
Zona 45,3,0.65,0.64,25,7.783996484546988,0,0,25,0,0,0,3.21,0.65,2,-2.0936349825596046,-0.8852046390328644
Zona 46,28,1.28,1.188214285714286,85,3.402536438679153,1,6,77,1,0,0,24.98,1.28,0,-0.38717744505819435,-1.666333286670748
Zona 47,14,3.03,1.9635714285714287,79,11.241174040269426,1,4,68,3,1,2,7.03,3.03,2,-0.22280703138621208,0.05018696817492353
Zona 48,29,1.35,1.3151724137931036,104,3.4770195063618616,1,2,93,5,3,0,29.91,1.35,0,-0.08143469003351879,-1.1301250315830496
Zona 5,10,4.5,4.047,73,1.932642079208315,9,5,41,10,8,0,37.77,4.5,1,2.3107275248614974,2.368043193396915
Zona 6,8,3.5,3.02,44,1.1310748888432178,2,4,27,6,4,1,38.9,3.5,2,0.16282834532989898,1.0045350724796789
Zona 7,60,3.43,1.2186666666666668,117,4.8495437771978605,2,12,70,16,16,1,24.13,3.43,1,3.9985069097311814,0.6791691785534311
Zona 8,18,2.94,2.0116666666666667,74,2.6967834763808227,1,7,44,16,5,1,27.44,2.94,1,1.7537658409093766,0.4274640010808826
Zona 9,6,3.31,3.2133333333333334,30,0.778604439996659,1,4,17,1,7,0,38.53,3.31,2,-0.35978838565384513,0.7268809432541847
Zona Central,1,3.5,3.5,7,0.1373251615859989,0,0,5,1,0,1,50.97,3.5,2,-1.8391822488373915,0.9978807258048256
